11/6/2016 18:14,Steve Smith is still going after Steelers safety Mike Mitchell. pic.twitter.com/kz5Mis0RnT,  Neutral,
,,,
11/6/2016 18:00,Steve Smith on Steelers S Mike Mitchell: He ain't on my level,  Negative,
,,,
11/6/2016 17:19,Steelers haven't won since Donald Trump waved the Terrible Towel! #Steelers pic.twitter.com/FbKYvR6TsU,  Negative,
,,,
11/6/2016 17:08,Watch the worst onside kick in @NFL history. Courtesy of Steelers kicker Chris Boswell. #PITvsBAL pic.twitter.com/bdAlvu0Hd4,  Negative,
,,,
11/6/2016 16:56,#Shaqtin : NFL Edition Steelers K Chris Boswell fails hard on key onside kick attempt... http:// ble.ac/2fq5fGv pic.twitter.com/sGT1rz3lCz,  Negative,
,,,
11/6/2016 16:38,Life as a Steelers fan is way too stressful,  Negative,
,,,
11/6/2016 16:31,FINAL: @Ravens beat the rival Steelers ! #RavensFlock #PITvsBAL pic.twitter.com/1zUK6CKuJw,  Neutral,
,,,
11/6/2016 16:30,Steelers went for the rabona onside kick. Reality did not exactly meet expectation. #PITvsBAL http:// snpy.tv/2fRruZ9,  Neutral,
,,,
11/6/2016 16:27,The Sweep Continues! The Ravens continue their winning streak against the Steelers and have won their last 4 games against them.,  Positive,
,,,
11/6/2016 16:27,Steelers attempt at a Rabona for their onside kick failed miserably pic.twitter.com/yI2B9xCh7Z,  Negative,
,,,
11/6/2016 16:24,The @Steelers just tried a rabona onside kick. It. Well... did not exactly work out. #PITvsBAL http:// snpy.tv/2fRruZ9,  Negative,
,,,
11/6/2016 16:24,"With the win over the Steelers , we take first place in the AFC North. pic.twitter.com/ZPyS2Y5UgR",  Positive,
,,,
11/6/2016 16:24,Steelers still haven't won since trump waved the terrible towel @Dameshek,  Negative,
,,,
11/6/2016 16:22,"Final score: #Steelers 14, Ravens 21",  Negative,
,,,
11/6/2016 16:22,"This is going to shock you, but the Steelers lost. pic.twitter.com/H34Y1GjRCh",  Neutral,
,,,
11/6/2016 16:22,"Spinzone, no way the Ravens saw this coming https:// vine.co/v/5jZiKx3eVeW",  Negative,
,,,
11/6/2016 16:22,RAVENS WIN THE GAME!! Ravens: 21 Steelers : 14 #PITvsBAL #RavensNation #PlayLikeARaven,  Negative,
,,,
11/6/2016 16:22,Steelers day summed up in one kick. pic.twitter.com/2q7u9CIjoe,  Positive,
,,,
11/6/2016 16:21,OMG @steelers kicker just tried a #rabona onside kick. #Steelers https:// vine.co/v/5jZi1zDXihJ,  Negative,
,,,
11/6/2016 16:20,That Steelers onside kick...,  Neutral,
,,,
11/6/2016 16:20,Here lies the worst onside kick in NFL history. #Steelers pic.twitter.com/3abu7QbN5A,  Negative,
,,,
11/6/2016 16:20,Que Onside Kick maravilhoso do Steelers . https:// vine.co/v/5jZiBb1x3Xj,  Negative,
,,,
11/6/2016 16:20,Yikes! The Steelers kicker just whiffed on the ball for the onsides kick. Refs are literally laughing in huddle.,  Negative,
,,,
11/6/2016 16:20,Worst. Onside. Kick. Ever. WOKE. @steelers Refs laughing it was so bad.,  Negative,
,,,
11/6/2016 16:18,Le'Veon Bell with the Hit on Eric Weddle! #Steelers https:// vine.co/v/5jZeaunQvz7,  Negative,
,,,
11/6/2016 16:08,Steelers defense actually did not play poorly. Allowed that 1 TD. had 3 sacks and an interception. Steelers offense a no-show most of game,  Negative,
,,,
11/6/2016 16:05,This happened 27 days ago. The Steelers haven't won a single game since and have been outscored 78-48. pic.twitter.com/5s3TWCOJbR,  Negative,
,,,
11/6/2016 15:56,Bring on the Steelers ! #CowboysNation,  Neutral,
,,,
11/6/2016 15:55,"The #DallasCowboys have won 7 games in a row, and are now 7-1. •Up Next: @the Steelers #CowboysNation",  Positive,
,,,
11/6/2016 15:46,"Good, Dak safely out of game. Don't like that Ronald Leary in concussion protocol. Might not be a good thing Steelers getting crushed now.",  Negative,
,,,
11/6/2016 15:38,Luckily Steelers fans have those yellow towels to dry their tears after today's pathetic attempt at playing football.,  Negative,
,,,
